Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-8-2022 17:34:58,Mumbai,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,Weight loss/gain,Home - without equipment,3,5,My schedule doesn't permit regularity in my eating habits,I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Important,Neutral,Very Important,Important
11-8-2022 17:47:18,Palghar ,Male,18-24,High school,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,Temptation for junk food,I am interested to try out,I don’t think online training is effective,Not more than Rs. 500,,Not important at all,Very Important,Very Important,Very Important,Very Important
11-8-2022 17:55:20,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,31-45,Body building,Gym / Studio,5,5,My schedule doesn't permit regularity in my eating habits,I am interested to try out,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Very Important,Very Important,Very Important
11-8-2022 18:01:12,Mumbai ,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,Body building,Gym / Studio,5,5,"Can't cook at home, My schedule doesn't permit regularity in my eating habits",I have already tried,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not important at all,Not so important,Not so important,Not so important,Not so important
11-8-2022 18:22:13,Mumbai ,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",4 to 5 days a week,15-30,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,5,4,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine",I am interested to try out,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Important,Not so important,Neutral
11-8-2022 18:24:07,Mumbai,Male,18-24,High school,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,1,4,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Important,Important
11-8-2022 18:27:06,Mumbai,Male,45-54,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - with equipment,3,5,"Temptation for junk food, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Not so important,Important,Important
11-8-2022 18:27:13,Mumbai,Male,18-24,High school,I don't follow any wellness/fitness routine,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",Occasionally / Rarely,Less than 15,Body building,Home - without equipment,1,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I am interested to try out,I don't want to invest in buying any accessories at home,Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Not important at all,Important,Important
11-8-2022 18:29:45,Mumbai ,Female,Less than 18,High school,Yoga & breathing exercises,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,31-45,Weight loss/gain,Home - without equipment,4,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Important,Very Important,Neutral
11-8-2022 18:33:29,Mumbai ,Female,18-24,College diploma / Certificate,I don't follow any wellness/fitness routine,"Unavailability of a good gym/classes nearby, Lack of motivation / time",Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Very Important,Very Important,Very Important
